athlete_id,rank,discipline,season,date,event_id,event_location,d_cat,firstname,lastname,age,gender,country,height,arm_span,paraclimbing_sport_class,birthday,gdp_per_capita
14,1,lead,2022,2022-07-09,1280,Villars,585,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,63353.94
14,1,lead,2022,2022-06-22,1277,Innsbruck,585,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,63353.94
14,1,lead,2022,2022-05-26,1278,Salt Lake City,585,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,63353.94
14,2,lead,2021,2021-10-11,1224,United States,585,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62950.047
14,3,lead,2021,2021-09-17,1225,Moscow,585,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62950.047
14,2,lead,2021,2021-07-15,1223,Briançon,585,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62950.047
14,3,lead,2021,2021-06-24,1222,Innsbruck,585,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62950.047
14,3,lead,2019,2019-07-17,1128,Paraclimbing_WCH_1,97,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,63392.95
14,2,lead,2018,2018-09-16,1064,Paraclimbing_WCH_18,97,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62914.547
14,1,lead,2018,2018-07-18,1066,Bri_Paraclimbing_18,97,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62914.547
14,3,lead,2017,2017-10-08,1003,She_Paraclimbing_17,97,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62407.164
14,4,lead,2017,2017-07-26,1001,Bri_Paraclimbing_17,97,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62407.164
14,3,lead,2017,2017-07-09,1000,Ims_Paraclimbing_17,97,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,62407.164
14,1,lead,2016,2016-09-18,956,Paraclimbing_WCH_16,97,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,60984.477
14,4,lead,2015,2015-10-04,913,She_Paraclimbing_15,89,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,60099.637
14,7,lead,2015,2015-06-28,911,Imst_Paraclimbing_15,85,Korbinian,FRANCK,35.0,male,DEU,,,"Limited Range, Power & Stability 1: RP1",1989-09-02,60099.637
24,2,lead,2023,2023-08-10,1338,Bern,577,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,63578.14
24,1,lead,2023,2023-06-24,1341,Villars-sur-Ollon,577,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,63578.14
24,2,lead,2023,2023-06-13,1337,Innsbruck,577,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,63578.14
24,1,lead,2022,2022-07-09,1280,Villars,577,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,63353.94
24,1,lead,2022,2022-06-22,1277,Innsbruck,577,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,63353.94
24,3,lead,2021,2021-09-17,1225,Moscow,577,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,62950.047
24,3,lead,2021,2021-07-15,1223,Briançon,589,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,62950.047
24,2,lead,2021,2021-06-24,1222,Innsbruck,589,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,62950.047
24,3,lead,2019,2019-07-17,1128,Paraclimbing_WCH_1,45,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,63392.95
24,2,lead,2017,2017-10-08,1003,She_Paraclimbing_17,45,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,62407.164
24,1,lead,2017,2017-09-24,1002,Edi_Paraclimbing_17,45,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,62407.164
24,1,lead,2017,2017-07-26,1001,Bri_Paraclimbing_17,45,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,62407.164
24,1,lead,2017,2017-07-09,1000,Ims_Paraclimbing_17,45,Kevin,BARTKE,38.0,male,DEU,182.0,,Partial-arm / Partial-armed Climbing: AU2,1985-10-21,62407.164
11,2,lead,2016,2016-07-17,955,Imst_Paraclimbing_16,97,Andreas,ENGELHARD,61.0,male,DEU,,,,1963-05-07,60984.477
11,6,lead,2015,2015-07-11,912,Chamonix_PC_15,89,Andreas,ENGELHARD,61.0,male,DEU,,,,1963-05-07,60099.637
11,4,lead,2015,2015-06-28,911,Imst_Paraclimbing_15,89,Andreas,ENGELHARD,61.0,male,DEU,,,,1963-05-07,60099.637
11,5,lead,2014,2014-08-29,870,Arco_Paraclimbing_14,85,Andreas,ENGELHARD,61.0,male,DEU,,,,1963-05-07,59636.555
33,42,lead,1994,1994-07-28,141,M-LA,393,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30,19348.201
33,48,lead,1994,1994-04-29,135,W-Mo,1,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30,19348.201
33,27,lead,1993,1993-11-05,129,W-Nü,1,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30,22122.291
33,21,lead,1993,1993-07-22,132,M-Se,393,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30,22122.291
33,33,lead,1993,1993-05-28,127,W-To,1,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30,22122.291
33,25,lead,1993,1993-04-30,125,WM-I,1,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30,22122.291
33,37,lead,1991,1991-10-31,105,W-Nü,1,Alexander,SISINTSEV,53.0,male,RUS,,,,1971-06-30,28352.436
32,34,boulder,1998,1998-08-14,193,T-Cortina,395,Alexei,SHALYGIN,,male,RUS,,,,,17226.227
32,33,lead,1996,1996-09-19,152,W-Ekaterinburg,1,Alexei,SHALYGIN,,male,RUS,,,,,17879.922
17,2,lead,2017,2017-07-09,1000,Ims_Paraclimbing_17,169,Friederike,TAUTZ,32.0,female,DEU,,,,1992-02-29,62407.164
17,1,lead,2016,2016-07-17,955,Imst_Paraclimbing_16,169,Friederike,TAUTZ,32.0,female,DEU,,,,1992-02-29,60984.477
1,14,speed,1998,1998-04-03,184,EC-Nürnberg,226,Arno,DIMMLER,57.0,male,DEU,,,,1967-01-01,47982.93
1,60,lead,1993,1993-11-05,129,W-Nü,1,Arno,DIMMLER,57.0,male,DEU,,,,1967-01-01,44332.805
3,9,speed,1993,1993-11-05,129,W-Nü,2,Markus,ZÖLL,56.0,male,DEU,,,,1968-06-17,44332.805
3,57,lead,1993,1993-04-02,124,W-Fr,1,Markus,ZÖLL,56.0,male,DEU,,,,1968-06-17,44332.805
